iter	Passed	Remaining
626	8938	5317
627	8952	5303
628	8967	5289
629	8981	5274
630	8994	5260
631	9009	5245
632	9021	5230
633	9035	5215
634	9048	5201
635	9062	5186
636	9076	5172
637	9091	5158
638	9106	5144
639	9120	5130
640	9134	5116
641	9149	5101
642	9163	5087
643	9176	5072
644	9190	5058
645	9203	5043
646	9217	5028
647	9230	5014
648	9244	4999
649	9258	4985
650	9273	4971
651	9286	4956
652	9301	4942
653	9314	4928
654	9327	4913
655	9342	4898
656	9356	4884
657	9371	4871
658	9386	4857
659	9401	4843
660	9415	4828
661	9430	4814
662	9444	4800
663	9458	4786
664	9473	4772
665	9488	4758
666	9502	4743
667	9516	4729
668	9530	4715
669	9545	4701
670	9560	4687
671	9573	4672
672	9588	4658
673	9602	4644
674	9616	4630
675	9630	4615
676	9644	4601
677	9659	4587
678	9674	4573
679	9689	4559
680	9704	4545
681	9718	4531
682	9733	4517
683	9748	4503
684	9763	4489
685	9778	4475
686	9792	4461
687	9806	4447
688	9821	4433
689	9837	4419
690	9852	4405
691	9867	4391
692	9882	4378
693	9897	4364
694	9912	4349
695	9926	4335
696	9941	4321
697	9956	4307
698	9971	4293
699	9985	4279
700	10000	4265
701	10014	4251
702	10028	4236
703	10042	4222
704	10057	4208
705	10073	4195
706	10089	4181
707	10106	4168
708	10121	4154
709	10137	4140
710	10151	4126
711	10168	4113
712	10182	4098
713	10198	4085
714	10213	4071
715	10226	4056
716	10242	4042
717	10258	4029
718	10272	4014
719	10286	4000
720	10298	3984
721	10311	3970
722	10325	3955
723	10338	3941
724	10353	3927
725	10367	3912
726	10382	3898
727	10396	3884
728	10409	3869
729	10424	3855
730	10439	3841
731	10453	3827
732	10468	3813
733	10482	3798
734	10495	3783
735	10507	3769
736	10520	3754
737	10534	3739
738	10548	3725
739	10562	3711
740	10577	3697
741	10592	3683
742	10607	3669
743	10621	3654
744	10636	3640
745	10651	3626
746	10666	3612
747	10680	3598
748	10693	3583
749	10707	3569
750	10720	3554
751	10734	3539
752	10747	3525
753	10761	3511
754	10775	3496
755	10789	3482
756	10802	3467
757	10815	3453
758	10828	3438
759	10841	3423
760	10854	3409
761	10868	3394
762	10882	3380
763	10895	3365
764	10909	3351
765	10922	3336
766	10934	3321
767	10948	3307
768	10961	3292
769	10975	3278
770	10987	3263
771	11001	3249
772	11015	3234
773	11029	3220
774	11042	3205
775	11056	3191
776	11069	3176
777	11082	3162
778	11095	3147
779	11107	3132
780	11120	3118
781	11134	3103
782	11147	3089
783	11162	3075
784	11176	3060
785	11189	3046
786	11204	3032
787	11220	3018
788	11235	3004
789	11251	2990
790	11265	2976
791	11280	2962
792	11294	2948
793	11308	2933
794	11322	2919
795	11336	2905
796	11350	2891
797	11365	2876
798	11379	2862
799	11393	2848
800	11407	2834
801	11420	2819
802	11435	2805
803	11448	2791
804	11461	2776
805	11475	2762
806	11489	2747
807	11503	2733
808	11517	2719
809	11530	2704
810	11543	2690
811	11556	2675
812	11570	2661
813	11584	2647
814	11597	2632
815	11611	2618
816	11624	2603
817	11638	2589
818	11653	2575
819	11667	2561
820	11682	2547
821	11697	2533
822	11711	2518
823	11726	2504
824	11740	2490
825	11754	2476
826	11767	2461
827	11781	2447
828	11794	2432
829	11807	2418
830	11820	2403
831	11834	2389
832	11848	2375
833	11862	2361
834	11875	2346
835	11889	2332
836	11903	2318
837	11917	2303
838	11931	2289
839	11946	2275
840	11961	2261
841	11974	2247
842	11988	2232
843	12001	2218
844	12015	2204
845	12030	2189
846	12044	2175
847	12059	2161
848	12074	2147
849	12088	2133
850	12103	2119
851	12116	2104
852	12130	2090
853	12145	2076
854	12158	2061
855	12172	2047
856	12186	2033
857	12200	2019
858	12214	2005
859	12229	1990
860	12244	1976
861	12257	1962
862	12272	1948
863	12287	1934
864	12301	1919
865	12316	1905
866	12332	1891
867	12348	1877
868	12365	1864
869	12380	1849
870	12396	1835
871	12411	1821
872	12426	1807
873	12441	1793
874	12456	1779
875	12470	1765
876	12482	1750
877	12496	1736
878	12509	1722
879	12524	1707
880	12538	1693
881	12552	1679
882	12566	1665
883	12579	1650
884	12593	1636
885	12607	1622
886	12620	1607
887	12633	1593
888	12647	1579
889	12661	1564
890	12674	1550
891	12688	1536
892	12702	1521
893	12717	1507
894	12731	1493
895	12746	1479
896	12760	1465
897	12774	1450
898	12788	1436
899	12802	1422
900	12815	1408
901	12829	1393
902	12844	1379
903	12858	1365
904	12872	1351
905	12888	1337
906	12902	1322
907	12917	1308
908	12932	1294
909	12948	1280
910	12963	1266
911	12979	1252
912	12993	1238
913	13009	1224
914	13025	1210
915	13042	1196
916	13058	1181
917	13074	1167
918	13089	1153
919	13106	1139
920	13121	1125
921	13136	1111
922	13151	1097
923	13166	1082
924	13181	1068
925	13197	1054
926	13211	1040
927	13226	1026
928	13241	1011
929	13256	997
930	13272	983
931	13286	969
932	13299	955
933	13313	940
934	13327	926
935	13341	912
936	13355	897
937	13368	883
938	13383	869
939	13398	855
940	13413	841
941	13428	826
942	13443	812
943	13459	798
944	13473	784
945	13488	769
946	13502	755
947	13516	741
948	13530	727
949	13545	712
950	13560	698
951	13575	684
952	13588	670
953	13603	655
954	13616	641
955	13629	627
956	13642	613
957	13656	598
958	13669	584
959	13683	570
960	13697	555
961	13711	541
962	13725	527
963	13739	513
964	13753	498
965	13768	484
966	13782	470
967	13796	456
968	13810	441
969	13825	427
970	13838	413
971	13852	399
972	13866	384
973	13880	370
974	13895	356
975	13910	342
976	13924	327
977	13937	313
978	13951	299
979	13964	284
980	13978	270
981	13992	256
982	14006	242
983	14019	227
984	14034	213
985	14047	199
986	14062	185
987	14076	170
988	14090	156
989	14103	142
990	14117	128
991	14130	113
992	14144	99
993	14157	85
994	14171	71
995	14185	56
996	14199	42
997	14214	28
998	14227	14
999	14241	0
